,Adresse,Antall etasjer,Areal til energisentral,Bebygd areal,Bruksareal,Byggeår,Bygningsstandard,Bygningstype,Energibrønn,Energikarakter,Energiområde,Fjernes,Fjernvarme,Fjernvarme i nye bygg,Høyde,Kulturminne,Latitude,Longitude,Mye fjernvarme og sol,Ny bygningsstandard,Oppvarmingskarakter,Plan,Polygon,Referansesituasjon,Scenario,Solcelleareal,Solceller,air_water_heatpump_compressor,air_water_heatpump_extracted_from_air,air_water_heatpump_peak,air_water_heatpump_size,cooling,cooling_compressor,cooling_compressor_max,cooling_compressor_sum,cooling_covered,cooling_covered_max,cooling_covered_sum,cooling_max,cooling_peak,cooling_pump_size,cooling_sum,dhw_max,dhw_sum,district_heating_covered,district_heating_not_covered,electric_balance_max,electric_balance_sum,electric_vehicle_demand,elspecific_max,elspecific_sum,geoenergy_borehole_meters,geoenergy_compressor,geoenergy_extracted_from_wells,geoenergy_heatpump_size,geoenergy_peak,heating_balance_max,heating_balance_sum,solar_production,solar_production_max,solar_production_sum,spaceheating_max,spaceheating_sum,total_balance,total_balance_max,total_balance_sum
309,,4.0,,,242.0,1925.0,Lite energieffektiv,Hus,,,D,,,,10.0,,63.4032103834422,10.4016898744105,"['Oppgradert bygningsmasse', 'Solceller', 'Fjernvarme', 'Fjernkjøling']",Lite energieffektiv,,Eksisterende,"10.401809882071475 63.40323608713409,10.401754130948932 63.40325710993075,10.401722266351648 63.403240098138596,10.401700441412519 63.40324830119122,10.40157667785862 63.403182193063344,10.401633152344427 63.40316089961593,10.401809882071475 63.40323608713409",,,,,,,,,,,,,,,,5.52928275862069,,,1690.9074068965517,0.9802371414,4820.0500948226,,,1.96,9692.38,,1.9606739086,9693.076493353,,,,,,12.41,39392.350000000006,,,,11.523943151600001,34571.820945595995,[4.01 3.48 3.34 ... 9.34 8.68 8.13],13.4,49084.729999999996
310,,1.0,,,1330.0,1010.0,Lite energieffektiv,Andre,,,D,S3S4,,,9.0,,63.4096950985862,10.3913256825474,"['Oppgradert bygningsmasse', 'Solceller', 'Fjernvarme', 'Fjernkjøling']",Lite energieffektiv,,Eksisterende,"10.391125551348567 63.40946148323135,10.391177611102034 63.409440600226326,10.39150272640194 63.40960340838128,10.391596114994671 63.40965016369964,10.391921233184233 63.40981296997751,10.391762300025974 63.40987663414213,10.39171770923842 63.40989457272001,10.391850102890736 63.409960964433,10.391831828467502 63.40996823417027,10.391865701429877 63.40998531840387,10.391778080634829 63.41002037109584,10.391744211261946 63.41000337687933,10.39173045950754 63.41000889625492,10.391598065919815 63.40994250443173,10.391524583764769 63.40997176415574,10.390863464189643 63.40964059887247,10.390896076162647 63.40962753574667,10.39080966974577 63.40958430210429,10.39085033511266 63.409568018327434,10.390763309575894 63.409524431933036,10.390743863298926 63.40953225175619,10.390688651173694 63.409504603315824,10.390958379247618 63.409396416473754,10.391013595007712 63.40942415484824,10.391034216986016 63.40941578488895,10.391125551348567 63.40946148323135",,,,,,,,,,,,,,,,,,,,4.409288484999999,26514.785827354997,,,35.27,182652.07,,35.266869589,182652.081243891,,,,,,75.32,180680.65,,,,71.081037769,154165.694350724,[25.59 25.25 25.74 ... 50.19 47.76 46.65],104.88,363332.72
311,,3.0,,,1043.0,1953.0,Lite energieffektiv,Kontor,,,D,S3S4,,,5.0,,63.4045144520817,10.3956526196924,"['Oppgradert bygningsmasse', 'Solceller', 'Fjernvarme', 'Fjernkjøling']",Lite energieffektiv,,Eksisterende,"10.395500597152648 63.404363793822114,10.395633345824269 63.404363664283146,10.395633502219525 63.40436276561691,10.395780469890694 63.40436267683967,10.395926431461879 63.40436250777422,10.395927231679217 63.40459319224352,10.395980299582364 63.40459330201327,10.395980227096102 63.40461242246128,10.396077739566918 63.40461236807523,10.396077921925514 63.4046778937388,10.396078204121357 63.40474548273506,10.395812297790776 63.40474565656383,10.395812016221463 63.40467806757211,10.39581187441487 63.40465455021674,10.395697546500738 63.404654679342705,10.395697439087781 63.40461536471562,10.395634367891194 63.40461544176204,10.395633984413339 63.404529272501804,10.395395315314298 63.40452944896609,10.39539545762867 63.40452002254875,10.395267712717972 63.40452010301665,10.395254952785288 63.40454598962271,10.395120062092797 63.40453087983797,10.395119463058698 63.404390763896814,10.395261020978142 63.40439063856798,10.395261048206812 63.40438704796482,10.395401010494092 63.404387028344374,10.395400939648479 63.40438146348658,10.395468015996368 63.40438143672875,10.395500651352641 63.4043813869975,10.395500597152648 63.404363793822114",,,,,,,,,,,,,,,,26.13477214377407,,,2674.814431964057,2.4353122773,12513.634323722,,,35.74,181310.83,,35.736918112,181312.06698369727,,,,,,50.51,103962.48,,,,48.588336064800004,91449.65452300581,[18.52 18.58 19.02 ... 36.93 35.85 35.31],80.42,285273.31
312,,1.0,,,133.0,1960.0,Lite energieffektiv,Kontor,,,D,S3S4,,,5.0,,63.4045144520817,10.3956526196924,"['Oppgradert bygningsmasse', 'Fjernvarme', 'Fjernkjøling']",Lite energieffektiv,,Eksisterende,"10.395500597152648 63.404363793822114,10.395633345824269 63.404363664283146,10.395633502219525 63.40436276561691,10.395780469890694 63.40436267683967,10.395926431461879 63.40436250777422,10.395927231679217 63.40459319224352,10.395980299582364 63.40459330201327,10.395980227096102 63.40461242246128,10.396077739566918 63.40461236807523,10.396077921925514 63.4046778937388,10.396078204121357 63.40474548273506,10.395812297790776 63.40474565656383,10.395812016221463 63.40467806757211,10.39581187441487 63.40465455021674,10.395697546500738 63.404654679342705,10.395697439087781 63.40461536471562,10.395634367891194 63.40461544176204,10.395633984413339 63.404529272501804,10.395395315314298 63.40452944896609,10.39539545762867 63.40452002254875,10.395267712717972 63.40452010301665,10.395254952785288 63.40454598962271,10.395120062092797 63.40453087983797,10.395119463058698 63.404390763896814,10.395261020978142 63.40439063856798,10.395261048206812 63.40438704796482,10.395401010494092 63.404387028344374,10.395400939648479 63.40438146348658,10.395468015996368 63.40438143672875,10.395500651352641 63.4043813869975,10.395500597152648 63.404363793822114",,,,,,,,,,,,,,,,3.3326219512195125,,,341.08371951219516,0.3105431763,1595.6983365820001,,,4.56,23115.94,,4.557056672,23120.3306891963,,,,,,6.44,13256.69,,,,6.1958280888,11661.3653418598,[2.36 2.37 2.42 ... 4.71 4.57 4.5 ],10.25,36372.63
313,,1.0,,,94.0,1972.0,Lite energieffektiv,Kontor,,,D,S3S4,,,5.0,,63.4045144520817,10.3956526196924,"['Oppgradert bygningsmasse', 'Fjernvarme', 'Fjernkjøling']",Lite energieffektiv,,Eksisterende,"10.395500597152648 63.404363793822114,10.395633345824269 63.404363664283146,10.395633502219525 63.40436276561691,10.395780469890694 63.40436267683967,10.395926431461879 63.40436250777422,10.395927231679217 63.40459319224352,10.395980299582364 63.40459330201327,10.395980227096102 63.40461242246128,10.396077739566918 63.40461236807523,10.396077921925514 63.4046778937388,10.396078204121357 63.40474548273506,10.395812297790776 63.40474565656383,10.395812016221463 63.40467806757211,10.39581187441487 63.40465455021674,10.395697546500738 63.404654679342705,10.395697439087781 63.40461536471562,10.395634367891194 63.40461544176204,10.395633984413339 63.404529272501804,10.395395315314298 63.40452944896609,10.39539545762867 63.40452002254875,10.395267712717972 63.40452010301665,10.395254952785288 63.40454598962271,10.395120062092797 63.40453087983797,10.395119463058698 63.404390763896814,10.395261020978142 63.40439063856798,10.395261048206812 63.40438704796482,10.395401010494092 63.404387028344374,10.395400939648479 63.40438146348658,10.395468015996368 63.40438143672875,10.395500651352641 63.4043813869975,10.395500597152648 63.404363793822114",,,,,,,,,,,,,,,,2.3553869429671743,,,241.06668897854394,0.21948164339999998,1127.786794276,,,3.22,16340.519999999999,,3.220776896,16340.684848003402,,,,,,4.55,9369.990000000002,,,,4.3790063184,8241.867234096399,[1.67 1.68 1.72 ... 3.33 3.23 3.18],7.25,25710.510000000002
314,,1.0,,,97.0,1983.0,Lite energieffektiv,Kontor,,,D,S3S4,,,5.0,,63.4045144520817,10.3956526196924,"['Oppgradert bygningsmasse', 'Fjernvarme', 'Fjernkjøling']",Lite energieffektiv,,Eksisterende,"10.395500597152648 63.404363793822114,10.395633345824269 63.404363664283146,10.395633502219525 63.40436276561691,10.395780469890694 63.40436267683967,10.395926431461879 63.40436250777422,10.395927231679217 63.40459319224352,10.395980299582364 63.40459330201327,10.395980227096102 63.40461242246128,10.396077739566918 63.40461236807523,10.396077921925514 63.4046778937388,10.396078204121357 63.40474548273506,10.395812297790776 63.40474565656383,10.395812016221463 63.40467806757211,10.39581187441487 63.40465455021674,10.395697546500738 63.404654679342705,10.395697439087781 63.40461536471562,10.395634367891194 63.40461544176204,10.395633984413339 63.404529272501804,10.395395315314298 63.40452944896609,10.39539545762867 63.40452002254875,10.395267712717972 63.40452010301665,10.395254952785288 63.40454598962271,10.395120062092797 63.40453087983797,10.395119463058698 63.404390763896814,10.395261020978142 63.40439063856798,10.395261048206812 63.40438704796482,10.395401010494092 63.404387028344374,10.395400939648479 63.40438146348658,10.395468015996368 63.40438143672875,10.395500651352641 63.4043813869975,10.395500597152648 63.404363793822114",,,,,,,,,,,,,,,,2.4305588666788926,,,248.76030671190173,0.2264863767,1163.7799898380001,,,3.32,16863.35,,3.323567648,16862.1960665567,,,,,,4.7,9667.5,,,,4.5187618392,8504.905550078201,[1.73 1.73 1.77 ... 3.43 3.33 3.29],7.4799999999999995,26530.85
315,,5.0,,,3040.0,2003.0,Lite energieffektiv,Sykehjem,,,D,,,,12.0,,63.4081009923285,10.393979708968,"['Oppgradert bygningsmasse', 'Fjernvarme', 'Fjernkjøling']",Lite energieffektiv,,Eksisterende,"10.394260664500488 63.40819758200534,10.39392983377239 63.408197578326686,10.393929834715738 63.4081233432303,10.393875564378256 63.408123334304214,10.39387548759575 63.40812997796184,10.393772958115076 63.408130079533834,10.39377203253909 63.4081233567469,10.393714732621131 63.40812283808171,10.393714368145293 63.40812768929538,10.393637272854308 63.40812781272262,10.393637276899597 63.40813203109645,10.393524337577315 63.4081321452099,10.39352421391053 63.4081048579654,10.393540835799467 63.40810487591782,10.393540783052103 63.4080625074387,10.393598456812676 63.40806248433002,10.393598373419675 63.408031875768074,10.394251798776445 63.40803151643404,10.394251979258435 63.40806822842215,10.394296637461013 63.40806824156303,10.394296580084182 63.40804642913012,10.39436085847184 63.408046340216245,10.394361099198104 63.40812963913287,10.39430883014401 63.40812961046492,10.394298617469712 63.40812961970894,10.394298312739837 63.40812333960859,10.39426066444385 63.40812334779666,10.394260664500488 63.40819758200534",,,,,,,,,,,,,,,,,,,,17.457957871999998,104641.21464574401,,,48.18,309867.16,,48.180637759999996,309864.029704688,,,,,,157.7,548874.04,,,,140.878262448,444232.44043726404,[ 70.57  70.46  71.64 ... 111.55 109.96 107.34],201.23,858741.2
316,,3.0,,,6950.0,1977.0,Lite energieffektiv,Kontor,,,D,S1S2,,,9.0,,63.4039201068347,10.4000754937218,"['Oppgradert bygningsmasse', 'Fjernvarme', 'Fjernkjøling']",Lite energieffektiv,,Eksisterende,"10.399808225375025 63.40393675645706,10.3996846973634 63.40393294025167,10.399692163924222 63.40388484282801,10.399707204514606 63.40388532436644,10.399727634361211 63.40375397931541,10.3997526209349 63.40359287781311,10.399758545947329 63.40355422189258,10.399784411323473 63.403554955464074,10.39986341847049 63.403495745646886,10.399940373330915 63.40351770206545,10.400119058471592 63.40356864270546,10.400285353946758 63.403616023681685,10.400465661645983 63.40366739745403,10.400449817550616 63.403769523838655,10.40036538536862 63.40431288369225,10.399855816997857 63.40429696173707,10.399868018888247 63.40421865771388,10.399701373846776 63.4042134679513,10.399716159858155 63.40411835281109,10.399779729965177 63.40412033309633,10.399808225375025 63.40393675645706",,,,,,,,,,,,,,,,174.14828993214746,,,17823.547748945537,16.227632144999998,83384.23638529998,,,238.13,1208171.19,,238.1319088,1208167.656315145,,,,,,336.6,692756.91,,,,323.76695652,609372.09869117,[123.41 123.83 126.75 ... 246.04 238.92 235.29],535.89,1900928.0999999999
317,,0.0,,,2930.0,1983.0,Lite energieffektiv,Kontor,,,D,S1S2,,,9.0,,63.4039201068347,10.4000754937218,"['Oppgradert bygningsmasse', 'Solceller', 'Fjernvarme', 'Fjernkjøling']",Lite energieffektiv,,Eksisterende,"10.399808225375025 63.40393675645706,10.3996846973634 63.40393294025167,10.399692163924222 63.40388484282801,10.399707204514606 63.40388532436644,10.399727634361211 63.40375397931541,10.3997526209349 63.40359287781311,10.399758545947329 63.40355422189258,10.399784411323473 63.403554955464074,10.39986341847049 63.403495745646886,10.399940373330915 63.40351770206545,10.400119058471592 63.40356864270546,10.400285353946758 63.403616023681685,10.400465661645983 63.40366739745403,10.400449817550616 63.403769523838655,10.40036538536862 63.40431288369225,10.399855816997857 63.40429696173707,10.399868018888247 63.40421865771388,10.399701373846776 63.4042134679513,10.399716159858155 63.40411835281109,10.399779729965177 63.40412033309633,10.399808225375025 63.40393675645706",,,,,,,,,,,,,,,,73.4179121584449,,,7514.099986246103,6.8412895229999995,35153.35433222,,,100.39,509344.83,,100.39230112,509342.62345372303,,,,,,141.91,292053.95,,,,136.494558648,256900.755275558,[ 52.02  52.21  53.43 ... 103.73 100.73  99.19],225.92000000000002,801398.78
318,,1.0,,,1250.0,2000.0,Lite energieffektiv,Kontor,,,D,S1S2,,,9.0,,63.4039201068347,10.4000754937218,"['Oppgradert bygningsmasse', 'Fjernvarme', 'Fjernkjøling']",Lite energieffektiv,,Eksisterende,"10.399808225375025 63.40393675645706,10.3996846973634 63.40393294025167,10.399692163924222 63.40388484282801,10.399707204514606 63.40388532436644,10.399727634361211 63.40375397931541,10.3997526209349 63.40359287781311,10.399758545947329 63.40355422189258,10.399784411323473 63.403554955464074,10.39986341847049 63.403495745646886,10.399940373330915 63.40351770206545,10.400119058471592 63.40356864270546,10.400285353946758 63.403616023681685,10.400465661645983 63.40366739745403,10.400449817550616 63.403769523838655,10.40036538536862 63.40431288369225,10.399855816997857 63.40429696173707,10.399868018888247 63.40421865771388,10.399701373846776 63.4042134679513,10.399716159858155 63.40411835281109,10.399779729965177 63.40412033309633,10.399808225375025 63.40393675645706",,,,,,,,,,,,,,,,31.321634879882637,,,3205.674055565744,2.9186388749999996,14997.1648175,,,42.83,217288.47,,42.82948,217296.34106387498,,,,,,60.54,124597.05,,,,58.231467,109599.29832574999,[22.19 22.27 22.8  ... 44.25 42.97 42.32],96.38,341885.51999999996
319,,0.0,,,0.0,2005.0,Lite energieffektiv,Kontor,,,C,S1S2,,,9.0,,63.4039201068347,10.4000754937218,"['Oppgradert bygningsmasse', 'Fjernvarme', 'Fjernkjøling']",Lite energieffektiv,,Eksisterende,"10.399808225375025 63.40393675645706,10.3996846973634 63.40393294025167,10.399692163924222 63.40388484282801,10.399707204514606 63.40388532436644,10.399727634361211 63.40375397931541,10.3997526209349 63.40359287781311,10.399758545947329 63.40355422189258,10.399784411323473 63.403554955464074,10.39986341847049 63.403495745646886,10.399940373330915 63.40351770206545,10.400119058471592 63.40356864270546,10.400285353946758 63.403616023681685,10.400465661645983 63.40366739745403,10.400449817550616 63.403769523838655,10.40036538536862 63.40431288369225,10.399855816997857 63.40429696173707,10.399868018888247 63.40421865771388,10.399701373846776 63.4042134679513,10.399716159858155 63.40411835281109,10.399779729965177 63.40412033309633,10.399808225375025 63.40393675645706",,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,,,,0.0,0.0,[0. 0. 0. ... 0. 0. 0.],0.0,0.0
